id,user_id,event_type,event_date,page
1,1,purchase,2025-06-11T23:55:52.496702,/account
2,1,product_view,2025-05-07T23:55:52.496736,/cart
3,1,search,2026-01-24T23:55:52.496765,/cart
4,1,product_view,2025-07-01T23:55:52.496777,/checkout
5,1,product_view,2025-09-21T23:55:52.496785,/account
6,1,search,2025-10-30T23:55:52.496793,/account
7,1,add_to_cart,2026-02-04T23:55:52.496800,/account
8,1,search,2025-11-19T23:55:52.496808,/products
9,1,search,2025-12-06T23:55:52.496815,/home
10,1,product_view,2026-01-06T23:55:52.496822,/account
11,1,add_to_cart,2025-07-07T23:55:52.496833,/home
12,1,search,2025-07-15T23:55:52.496848,/products
13,1,page_view,2025-12-17T23:55:52.496855,/checkout
14,1,purchase,2025-08-07T23:55:52.496862,/cart
15,1,search,2025-02-20T23:55:52.496869,/account
16,1,search,2025-09-16T23:55:52.496876,/cart
17,1,search,2025-03-02T23:55:52.496890,/account
18,1,search,2025-08-24T23:55:52.496897,/cart
19,1,purchase,2025-05-29T23:55:52.496904,/cart
20,1,page_view,2025-11-09T23:55:52.496911,/cart
21,1,search,2025-06-30T23:55:52.496918,/cart
22,1,page_view,2026-02-02T23:55:52.496924,/home
23,1,search,2025-05-13T23:55:52.496931,/checkout
24,1,purchase,2025-05-15T23:55:52.496938,/checkout
25,1,product_view,2025-11-30T23:55:52.496945,/cart
26,1,page_view,2025-08-07T23:55:52.496952,/home
27,1,search,2025-07-25T23:55:52.496959,/cart
28,1,purchase,2025-08-23T23:55:52.496966,/home
29,1,add_to_cart,2025-11-08T23:55:52.496973,/cart
30,1,purchase,2025-09-25T23:55:52.496980,/home
31,2,product_view,2025-03-29T23:55:52.496990,/checkout
32,2,purchase,2026-02-03T23:55:52.496997,/products
33,2,add_to_cart,2025-10-25T23:55:52.497004,/account
34,2,search,2025-05-08T23:55:52.497011,/checkout
35,2,page_view,2025-05-19T23:55:52.497019,/products
36,2,purchase,2025-06-10T23:55:52.497026,/home
37,2,page_view,2025-06-19T23:55:52.497033,/home
38,2,add_to_cart,2025-07-11T23:55:52.497042,/products
39,2,page_view,2025-03-24T23:55:52.497049,/cart
40,2,purchase,2025-11-19T23:55:52.497056,/products
41,2,product_view,2025-03-13T23:55:52.497063,/checkout
42,2,page_view,2025-11-09T23:55:52.497070,/home
43,2,purchase,2026-01-12T23:55:52.497076,/account
44,2,product_view,2025-05-08T23:55:52.497083,/products
45,2,page_view,2025-03-31T23:55:52.497090,/cart
46,2,page_view,2025-10-20T23:55:52.497097,/cart
47,2,product_view,2026-01-30T23:55:52.497104,/account
48,2,search,2025-03-16T23:55:52.497111,/home
49,2,product_view,2025-06-07T23:55:52.497118,/account
50,2,search,2025-04-17T23:55:52.497127,/checkout
51,2,add_to_cart,2025-09-19T23:55:52.497134,/cart
52,2,add_to_cart,2025-04-27T23:55:52.497141,/cart
53,2,page_view,2025-10-21T23:55:52.497148,/cart
54,2,search,2025-03-30T23:55:52.497155,/cart
55,2,product_view,2026-01-30T23:55:52.497162,/cart
56,2,purchase,2026-01-15T23:55:52.497168,/checkout
57,2,add_to_cart,2025-08-08T23:55:52.497175,/checkout
58,2,search,2025-09-05T23:55:52.497195,/account
59,2,page_view,2025-04-18T23:55:52.497202,/cart
60,2,search,2025-03-15T23:55:52.497209,/products
61,2,product_view,2025-09-30T23:55:52.497215,/home
62,2,purchase,2025-04-12T23:55:52.497222,/account
63,2,page_view,2025-11-26T23:55:52.497229,/checkout
64,2,page_view,2025-11-11T23:55:52.497235,/account
65,2,purchase,2025-09-20T23:55:52.497242,/products
66,2,page_view,2025-10-09T23:55:52.497250,/home
67,2,purchase,2025-05-10T23:55:52.497257,/account
68,3,purchase,2025-05-15T23:55:52.497266,/cart
69,3,product_view,2026-01-28T23:55:52.497272,/checkout
70,3,add_to_cart,2025-08-30T23:55:52.497279,/products
71,3,page_view,2025-10-12T23:55:52.497285,/home
72,3,product_view,2025-06-25T23:55:52.497292,/checkout
73,3,search,2025-09-12T23:55:52.497298,/account
74,3,search,2025-06-15T23:55:52.497304,/cart
75,3,product_view,2025-08-02T23:55:52.497311,/home
76,3,purchase,2026-01-02T23:55:52.497317,/account
77,3,search,2025-09-22T23:55:52.497324,/account
78,3,add_to_cart,2025-10-25T23:55:52.497333,/home
79,3,product_view,2025-05-14T23:55:52.497339,/products
80,3,product_view,2025-08-26T23:55:52.497346,/account
81,4,product_view,2025-09-17T23:55:52.497354,/home
82,4,product_view,2025-07-05T23:55:52.497363,/products
83,4,add_to_cart,2025-03-11T23:55:52.497369,/products
84,4,add_to_cart,2025-07-01T23:55:52.497376,/home
85,4,purchase,2025-05-01T23:55:52.497384,/checkout
86,4,product_view,2025-09-15T23:55:52.497391,/products
87,4,search,2025-07-05T23:55:52.497397,/checkout
88,4,purchase,2025-05-17T23:55:52.497404,/products
89,4,page_view,2025-06-23T23:55:52.497410,/products
90,4,page_view,2025-07-24T23:55:52.497417,/checkout
91,4,add_to_cart,2025-04-09T23:55:52.497423,/products
92,4,page_view,2025-07-30T23:55:52.497431,/home
93,4,product_view,2025-12-21T23:55:52.497437,/checkout
94,4,product_view,2025-05-25T23:55:52.497445,/products
95,4,purchase,2025-11-22T23:55:52.497452,/checkout
96,4,purchase,2025-08-15T23:55:52.497459,/account
97,4,purchase,2025-07-08T23:55:52.497465,/account
98,4,product_view,2025-04-08T23:55:52.497471,/home
99,4,search,2025-11-19T23:55:52.497478,/products
100,4,add_to_cart,2025-06-15T23:55:52.497484,/products
101,4,add_to_cart,2025-03-08T23:55:52.497491,/checkout
102,4,page_view,2025-06-20T23:55:52.497497,/account
103,4,product_view,2025-04-15T23:55:52.497504,/home
104,4,add_to_cart,2025-11-10T23:55:52.497511,/products
105,4,search,2025-02-23T23:55:52.497517,/account
106,4,page_view,2026-01-18T23:55:52.497524,/checkout
107,4,purchase,2025-09-19T23:55:52.497531,/account
108,4,search,2026-01-08T23:55:52.497538,/account
109,4,purchase,2025-06-12T23:55:52.497545,/checkout
110,4,product_view,2025-08-24T23:55:52.497552,/cart
111,5,search,2025-07-05T23:55:52.497560,/checkout
112,5,purchase,2025-08-29T23:55:52.497566,/products
113,5,product_view,2025-05-13T23:55:52.497572,/home
114,5,product_view,2025-05-05T23:55:52.497582,/account
115,5,page_view,2025-06-19T23:55:52.497589,/products
116,5,search,2025-05-18T23:55:52.497595,/home
117,5,purchase,2025-04-13T23:55:52.497602,/home
118,5,purchase,2025-05-29T23:55:52.497608,/account
119,5,page_view,2025-04-26T23:55:52.497614,/account
120,6,purchase,2025-05-20T23:55:52.497622,/account
121,6,search,2025-11-12T23:55:52.497629,/checkout
122,6,product_view,2025-10-21T23:55:52.497636,/account
123,6,purchase,2025-04-30T23:55:52.497642,/account
124,6,search,2025-07-10T23:55:52.497648,/products
125,6,product_view,2026-01-25T23:55:52.497654,/products
126,6,page_view,2025-02-20T23:55:52.497661,/checkout
127,6,search,2025-12-27T23:55:52.497667,/products
128,6,add_to_cart,2025-04-08T23:55:52.497674,/checkout
129,6,page_view,2025-11-05T23:55:52.497680,/home
130,6,product_view,2026-01-22T23:55:52.497688,/cart
131,6,page_view,2025-05-01T23:55:52.497695,/account
132,6,page_view,2025-11-18T23:55:52.497701,/account
133,6,product_view,2025-05-14T23:55:52.497708,/checkout
134,6,page_view,2025-05-20T23:55:52.497715,/products
135,6,page_view,2025-03-10T23:55:52.497722,/checkout
136,6,page_view,2025-07-15T23:55:52.497729,/checkout
137,6,product_view,2026-01-18T23:55:52.497736,/home
138,6,page_view,2025-06-18T23:55:52.497747,/account
139,6,add_to_cart,2025-10-16T23:55:52.497753,/checkout
140,6,add_to_cart,2025-04-10T23:55:52.497760,/account
141,6,add_to_cart,2025-07-22T23:55:52.497766,/account
142,6,product_view,2025-10-10T23:55:52.497772,/products
143,6,purchase,2025-02-09T23:55:52.497779,/account
144,7,search,2025-03-04T23:55:52.497787,/cart
145,7,product_view,2025-06-18T23:55:52.497796,/home
