id,user_id,order_date,status,total_amount
1,2,2025-04-29T23:55:52.392082,pending,61.26
2,2,2025-05-10T23:55:52.392124,cancelled,311.0
3,2,2025-09-12T23:55:52.392143,completed,527.11
4,2,2025-02-13T23:55:52.392163,cancelled,459.04
5,2,2025-11-06T23:55:52.392201,completed,922.15
6,2,2025-05-13T23:55:52.392215,completed,278.92
7,2,2025-03-25T23:55:52.392227,cancelled,289.8
8,2,2025-08-08T23:55:52.392239,pending,805.19
9,3,2025-07-29T23:55:52.392252,pending,486.05
10,4,2025-02-14T23:55:52.392272,completed,334.98
11,4,2025-12-26T23:55:52.392283,cancelled,992.09
12,4,2025-03-10T23:55:52.392295,completed,138.83
13,5,2025-07-27T23:55:52.392308,cancelled,502.2
14,5,2025-03-16T23:55:52.392320,completed,717.7
15,5,2025-12-25T23:55:52.392330,pending,853.06
16,5,2025-03-12T23:55:52.392341,pending,587.56
17,5,2025-12-19T23:55:52.392357,cancelled,923.19
18,5,2025-10-11T23:55:52.392370,completed,906.21
19,6,2025-06-07T23:55:52.392383,pending,94.23
20,6,2025-12-29T23:55:52.392394,cancelled,929.31
21,6,2025-05-03T23:55:52.392404,cancelled,675.2
22,6,2025-11-06T23:55:52.392416,pending,64.88
23,6,2025-10-22T23:55:52.392428,cancelled,186.98
24,6,2025-02-06T23:55:52.392439,pending,932.43
25,6,2025-09-05T23:55:52.392449,completed,585.76
26,6,2025-04-21T23:55:52.392461,pending,693.18
27,6,2025-05-05T23:55:52.392810,pending,414.65
28,7,2025-02-18T23:55:52.392846,cancelled,124.51
29,7,2025-08-12T23:55:52.392863,completed,142.8
30,8,2025-12-29T23:55:52.392881,pending,624.91
31,8,2025-03-28T23:55:52.392895,cancelled,426.87
32,8,2025-08-22T23:55:52.392910,completed,652.42
33,9,2025-05-30T23:55:52.392927,completed,388.02
34,9,2025-07-28T23:55:52.392940,pending,226.45
35,9,2025-04-12T23:55:52.392951,cancelled,411.07
36,9,2025-03-26T23:55:52.392963,pending,808.15
37,9,2025-02-05T23:55:52.392975,completed,127.94
38,9,2025-11-19T23:55:52.392987,pending,726.09
39,9,2025-03-18T23:55:52.393005,completed,752.67
40,10,2025-08-05T23:55:52.393021,completed,136.94
41,10,2025-09-01T23:55:52.393033,pending,391.92
42,10,2025-09-20T23:55:52.393051,completed,175.88
43,10,2025-11-02T23:55:52.393063,pending,476.4
44,10,2025-04-27T23:55:52.393075,cancelled,437.64
45,12,2025-08-08T23:55:52.393092,cancelled,138.41
46,13,2025-08-23T23:55:52.393107,pending,61.72
47,13,2025-07-09T23:55:52.393119,pending,790.21
48,13,2025-04-25T23:55:52.393131,completed,593.36
49,13,2025-11-11T23:55:52.393198,cancelled,411.7
50,13,2025-11-26T23:55:52.393223,pending,336.07
51,13,2025-05-29T23:55:52.393234,completed,110.1
52,13,2025-06-28T23:55:52.393246,pending,450.05
53,13,2025-06-03T23:55:52.393257,completed,393.07
54,13,2025-10-02T23:55:52.393270,cancelled,643.78
55,14,2025-03-27T23:55:52.393284,completed,484.97
56,14,2025-11-28T23:55:52.393296,pending,56.43
57,14,2025-07-18T23:55:52.393314,pending,849.53
58,14,2025-07-26T23:55:52.393333,pending,468.21
59,14,2025-06-30T23:55:52.393348,cancelled,975.51
60,14,2025-11-28T23:55:52.393362,pending,354.63
61,14,2025-02-15T23:55:52.393375,completed,505.06
62,14,2025-11-07T23:55:52.393388,pending,970.29
63,14,2025-09-09T23:55:52.393401,cancelled,710.21
64,15,2025-04-17T23:55:52.393416,completed,359.59
65,15,2025-09-15T23:55:52.393429,pending,396.76
66,15,2025-04-23T23:55:52.393444,completed,612.62
67,15,2025-05-02T23:55:52.393486,completed,697.63
68,15,2025-04-30T23:55:52.393506,completed,955.35
69,15,2025-06-14T23:55:52.393519,cancelled,249.17
70,15,2025-09-09T23:55:52.393531,cancelled,115.7
71,16,2025-02-26T23:55:52.393547,pending,182.22
72,16,2025-09-03T23:55:52.393561,completed,290.05
73,16,2025-11-19T23:55:52.393573,cancelled,451.97
74,16,2025-07-27T23:55:52.393589,completed,476.61
75,16,2025-04-05T23:55:52.393602,pending,603.13
76,16,2025-05-08T23:55:52.393615,cancelled,927.32
77,17,2025-05-03T23:55:52.393630,completed,801.18
78,17,2025-08-05T23:55:52.393646,cancelled,900.73
79,17,2025-05-07T23:55:52.393660,cancelled,656.27
80,17,2025-12-24T23:55:52.393673,completed,780.51
81,17,2025-03-06T23:55:52.393685,cancelled,387.26
82,17,2025-03-11T23:55:52.393698,cancelled,92.08
83,18,2025-02-24T23:55:52.393713,cancelled,429.64
84,18,2025-08-20T23:55:52.393726,pending,150.65
85,18,2025-12-17T23:55:52.393739,pending,260.9
86,18,2025-05-16T23:55:52.393752,cancelled,601.49
87,18,2025-04-17T23:55:52.393765,completed,473.49
88,18,2025-07-20T23:55:52.393777,pending,783.73
89,18,2025-04-10T23:55:52.393790,cancelled,525.44
90,18,2025-08-13T23:55:52.393802,completed,508.63
91,18,2025-09-07T23:55:52.393815,pending,924.52
92,18,2025-12-24T23:55:52.393827,completed,839.75
93,19,2025-08-11T23:55:52.393843,pending,375.91
94,19,2025-10-23T23:55:52.393857,cancelled,508.78
95,20,2025-12-18T23:55:52.393875,pending,735.89
96,20,2025-06-19T23:55:52.393888,pending,113.82
97,20,2026-01-14T23:55:52.393901,cancelled,159.33
